id,title,slug,type,url,list,list_id
1,Accordo elettorale tra PD e Alleanza Verdi e Sinistra (AVS),accordo-elettorale-tra-pd-e-alleanza-verdi-e-sinistra-avs,accordo elettorale,https://verdisinistra.it/wp-content/uploads/2022/08/08.08-Accordo-Elettorale-PD-AVS.pdf,Alleanza Verdi e Sinistra,6
2,Accordo elettorale tra PD e Alleanza Verdi e Sinistra (PD),accordo-elettorale-tra-pd-e-alleanza-verdi-e-sinistra-pd,accordo elettorale,https://verdisinistra.it/wp-content/uploads/2022/08/08.08-Accordo-Elettorale-PD-AVS.pdf,Partito Democratico,5
3,Accordo quadro di programma per un Governo di centrodestra (FdI),accordo-quadro-di-programma-per-un-governo-di-centrodestra-fdi,accordo elettorale,https://www.fratelli-italia.it/wp-content/uploads/2022/08/PER-LITALIA-Accordo-quadro-di-programma-per-un-Governo-di-centrodestra.pdf,Fratelli d'Italia,1
4,Accordo quadro di programma per un Governo di centrodestra (FI),accordo-quadro-di-programma-per-un-governo-di-centrodestra-fi,accordo elettorale,http://www.forza-italia.it/speciali/PER_L_ITALIA_Accordo_quadro_di_programma_per_un_Governo_di_centrodestra.pdf,Forza Italia,3
5,Accordo quadro di programma per un Governo di centrodestra (Lega),accordo-quadro-di-programma-per-un-governo-di-centrodestra-lega,accordo elettorale,https://cdn.pagellapolitica.it/wp-content/uploads/2022/08/PER_L_ITALIA_Accordo_quadro_di_programma_per_un_Governo_di_centrodestra.pdf,Lega,2
6,Accordo quadro di programma per un Governo di centrodestra (NoiM),accordo-quadro-di-programma-per-un-governo-di-centrodestra-noim,accordo elettorale,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/48/(48_progr_2_)-programma.pdf,Noi moderati,4
7,Le proposte per il turismo di Fratelli d’Italia,le-proposte-per-il-turismo-di-fratelli-ditalia,programma,https://www.fratelli-italia.it/wp-content/uploads/2022/08/Patto-per-il-turismo-2022-Il-Programma-elettorale-per-il-Turismo-di-Fratelli-DItalia.pdf,Fratelli d'Italia,1
8,Post Berlusconi 21 agosto 2022,post-berlusconi-21-agosto-2022,post,https://www.facebook.com/SilvioBerlusconi/videos/1687886861593147,Forza Italia,3
9,Programma elettorale +Europa,programma-elettorale-europa,programma,https://assets.nationbuilder.com/piueuropa/pages/1728/attachments/original/1661249454/PROGRAMMA__EUROPA_2022_.pdf,+Europa,7
10,Programma elettorale Alternativa Per l'Italia,programma-elettorale-alternativa-per-litalia,programma,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/44/(44_progr_2_)-programma_apli_pdf_a.pdf,Alternativa Per l'Italia,15
11,Programma elettorale AVS,programma-elettorale-avs,programma,https://verdisinistra.it/programma-alleanza-verdi-e-sinistra/,Alleanza Verdi e Sinistra,6
12,Programma elettorale Azione Italia Viva,programma-elettorale-azione-italia-viva,programma,https://issuu.com/azione_it/docs/impaginato,Azione-Italia Viva-Calenda,10
13,Programma elettorale Forza Italia,programma-elettorale-forza-italia,programma,http://www.forza-italia.it/speciali/Programma_Elettorale_Forza_Italia.pdf,Forza Italia,3
14,Programma elettorale Fratelli d'Italia,programma-elettorale-fratelli-ditalia,programma,https://www.fratelli-italia.it/wp-content/uploads/2022/08/Brochure_programma_FdI_qr_def.pdf,Fratelli d'Italia,1
